ID_PODA,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
219,25/08/2008,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,232,SIN FOLIO,PODA DE 1 JACARANDA,,,1,,,,,,,,,,,,,,,,1,19.40159339,-99.24788115,JUD JARDINERIA
220,25/08/2009,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,238,SIN FOLIO,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.40174758,-99.24770745,JUD JARDINERIA
221,25/08/2010,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,223,SIN FOLIO,PODA DE 1 FRESNO Y DERRIBO DE 1 FRESNO,,,,1,,,,,,,,,,,,,,,1,19.40111994,-99.24762517,JUD JARDINERIA
222,25/08/2011,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,231,SIN FOLIO,PODA DE 1 LAUREL,,,,,,1,,,,,,,,,,,,,1,19.4012058,-99.24754766,JUD JARDINERIA
223,25/08/2012,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,216,SIN FOLIO,PODA DE 2 FRESNOS Y DERRIBO DE 1 FRESNO,,,,,,,,,,,,,2,,,,,,2,19.4012702,-99.2481041,JUD JARDINERIA
224,25/08/2013,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,210,SIN FOLIO,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.40111462,-99.24824685,JUD JARDINERIA
225,25/08/2014,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,ESQUINA,SIN FOLIO,PODA DE 5 LIQUIDAMABAR,,,5,,,,,,,,,,,,,,,,5,19.40070983,-99.24842924,JUD JARDINERIA
226,25/08/2015,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,184,SIN FOLIO,PODA DE 1 JACARANDA,,,1,,,,,,,,,,,,,,,,1,19.40070625,-99.24906665,JUD JARDINERIA
227,25/08/2016,BOSQUES DE LAS LOMAS,BOSQUE DE SAUCES,377,14429,PODA DE 1 FRESNO Y 1 LAUREL EN PROGRAMA OLA DE SERVICIOS,,,2,,,,,,,,,,,,,,,,2,19.4073496,-99.24298851,JUD JARDINERIA
228,25/08/2017,POPOTLA,MAR MARMARA,365,20358,"PODA DE 1 JACARANDA, 1 EUCALIPTO Y 1 FICUS",,,1,,,,,,,,,,2,,,,,,3,19.45806669,-99.17757573,EMPRESA KAAB
229,25/08/2018,POPOTLA,MAR SONDA,20,28170,PODA DE 2 PIRUL BRASILENO Y 1 TULIPAN AFRICANO,,,1,,,,,,,,,,2,,,,,,3,19.4575339,-99.17716375,EMPRESA KAAB
230,25/08/2019,POPOTLA,MAR MARMARA,379,31235,PODA DE 2 FICUS Y 1 FRESNO,,,1,,,,,,,,,,2,,,,,,3,19.45795873,-99.17717442,EMPRESA KAAB
231,25/08/2020,AMERICA,SUR 130,53,32468,PODA DE 1 FICUS,,,,,1,,,,,,,,,,,,,,1,19.40378927,-99.20331269,JUD JARDINERIA
232,25/08/2021,POPOTLA,MAR SONDA,29,1314,PODA DE 1 LIQUIDAMBAR Y 1 FICUS,,,,,,,,,,,,,2,,,,,,2,19.45791677,-99.17660908,EMPRESA KAAB
